query,title,source,published,link
"""Reallabor"" Wuppertal",Fraunhofer IEG errichtet Reallabor für Geothermie in der Energieregion Rheinisches Revier,,"Tue, 25 Feb 2025 16:31:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe987983b44d89a86d595e054f8a0&url=https%3a%2f%2fwww.baulinks.de%2fwebplugin%2f2025%2f0259.php4&c=10251947628479384230&mkt=de-de
"""Reallabor"" Wuppertal",Der Kreis als „Reallabor“ – Ausweg aus dem Fachkräftemangel?,,"Thu, 27 Jul 2023 08:17:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe987983b44d89a86d595e054f8a0&url=https%3a%2f%2fwww.echo-online.de%2flokales%2fkreis-gross-gerau%2flandkreis-gross-gerau%2fder-kreis-als-reallabor-ausweg-aus-dem-fachkraeftemangel-2727390&c=13490365531739956288&mkt=de-de
"""Reallabor"" Wuppertal",Reallabor auf dem Campus Göppingen,,"Wed, 26 Feb 2025 05:00:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe987983b44d89a86d595e054f8a0&url=https%3a%2f%2fidw-online.de%2fde%2fnews848094&c=18155862020580816227&mkt=de-de
"""Reallabor"" Karlsruhe",Fraunhofer IEG errichtet Reallabor für Geothermie in der Energieregion Rheinisches Revier,,"Tue, 25 Feb 2025 16:31:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe9880297460aaa3fedaee1a5516d&url=https%3a%2f%2fwww.baulinks.de%2fwebplugin%2f2025%2f0259.php4&c=10251947628479384230&mkt=de-de
"""Reallabor"" Karlsruhe","20 Anzeigen gegen ""Abschiebetickets"" der AfD in Karlsruhe erstattet",,"Thu, 16 Jan 2025 07:33:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe9880297460aaa3fedaee1a5516d&url=https%3a%2f%2fwww.swr.de%2fswraktuell%2fbaden-wuerttemberg%2fkarlsruhe%2fafd-verteilt-abschiebetickets-wahlkampf-100.html&c=6253156447629174724&mkt=de-de
"""Reallabor"" Karlsruhe",Reallabor am Puls der Zeit,,"Mon, 19 Nov 2007 16:00:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe9880297460aaa3fedaee1a5516d&url=https%3a%2f%2fwww.stuttgarter-zeitung.de%2fsonderthemen%2fstudieninfotag-dhbw-11-2022%2fberuf-weiterbildung%2freallabor-am-puls-der-zeit-195696&c=6419486948981392020&mkt=de-de
"""Reallabor"" Lüneburg","Leiterin Carola Rudnick spricht von Skandal: In ""Euthanasie""-Gedenkstätte in Lüneburg fehlen Skelette von 79 Menschen",,"Thu, 03 Apr 2025 12:49:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe989c36840119ecc243d9d54530e&url=https%3a%2f%2fwww.n-tv.de%2fpanorama%2fLeiterin-Carola-Rudnick-spricht-von-Skandal-In-Euthanasie-Gedenkstaette-in-Lueneburg-fehlen-Skelette-von-79-Menschen-article25678922.html&c=9247847088302747778&mkt=de-de
"""Reallabor"" Lüneburg",Reallabore-Gesetz: Experimentierräume nachhaltig und partizipativ gestalten,,"Mon, 18 Sep 2023 02:19:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe989c36840119ecc243d9d54530e&url=https%3a%2f%2fidw-online.de%2fde%2fnews820753&c=17012255010990004148&mkt=de-de
"""Reallabor"" Berlin",Wettbewerb für Stadtideen startet: Auf 100 Metern Berlins Zukunft testen,,"Mon, 20 Oct 2025 02:15:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe98ae2364a0890dd64194541be47&url=https%3a%2f%2fwww.tagesspiegel.de%2fberlin%2fberliner-wirtschaft%2fwettbewerb-fur-stadtideen-startet-auf-100-metern-berlins-zukunft-testen-14598839.html&c=9457937910260016033&mkt=de-de
"""Reallabor"" Berlin",Der Campus wird cool,,"Wed, 15 Oct 2025 07:07:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe98ae2364a0890dd64194541be47&url=https%3a%2f%2fidw-online.de%2fde%2fnews859819&c=6952396293652814103&mkt=de-de
"""Reallabor"" Berlin",„SpreeX – Reallabor für Klimakompetenz“ der HTW Berlin erhält Deutschen Demografie Preis,,"Mon, 04 Jul 2022 08:15:00 GMT",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=68ffe98ae2364a0890dd64194541be47&url=https%3a%2f%2fidw-online.de%2fde%2fnews797803&c=16286642680023570523&mkt=de-de
