query,title,source,published,link
"""Reallabor"" Wuppertal","Reallabore: mit Experimenten zu mehr Nachhaltigkeit - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Tue, 21 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE1BSUlWelVNV3dUS0JPR1RQU1hCbmV5eXR1UlFPM0hZUkVQQlZPUDRzQ2RGcVRCaHhZYTItcFhHblFEUFJwVS15VTFyaE5jX3BCU3c?oc=5
"""Reallabor"" Wuppertal","Das Reallabor als Forschungsprozess und -infrastruktur für nachhaltige Entwicklung - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Wed, 04 Dec 2019 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFB6cDcwQi1yN1J2dUpiNVdRZm9kTVFQbW9QNmFhNjNXUDIzVU9MLXBCX3ZUQlFUQ1NUNEl0MlY1VWtaYlVMd0E1aWZBUS1OdzVPTmc?oc=5
"""Reallabor"" Wuppertal",Breitere Gehwege und Bäume sollen die Loher Straße in Wuppertal aufwerten​ - Westdeutsche Zeitung,Westdeutsche Zeitung,"Fri, 26 Jul 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxOYVlUc2FLTXZoSlNQc21ubXFxNF95RFVtbXhBVE5rd09LVmF0UlZ0YnVqNFdUbGxwTVVfeDlOc3ljTHFtZTAzYjIyQnQ5MGd6cTNNWGM3ZHdKTTdVcEdHWU1pRlJKT2lIWHAwSXJJcFQxbHV0UG9BXzNiRmJTcjdpd3M4VlR4N1hCQmd6VHhEYmI2c0hFYmEzTFI0VXY4d3Q0a1VBOEFDdDljSGQ4VmhfRW44RkhiN2psZ2pPQW1n?oc=5
"""Reallabor"" Wuppertal",Projekt „InnenBandStadt“: Ein „Google-Baum“ am Helene-Stöcker-Ufer - Wuppertaler Rundschau,Wuppertaler Rundschau,"Wed, 11 Dec 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMi1AFBVV95cUxObmlMVDgxVFk5Q2twUWVndU1EZG83ZFk4dmJrOC1CLW1CaUFaV0lVcHZTX09nQ3kwMjZ5Q2ZPNmhjOTBwVTRBUHEtWnMta0VzWU1OdVVneUZ3VGlzSFhMNXRMdmdyMWw3Y0VfdEQ2YzYzUjVDRkFmUHNHejdKV25VM0Z6ejBmeFRZb0RDZGxOcGZBbHJGcXEwbnl2d3BQWGp0cXdPYklzNlFORGktcTN0UDBGd2xzdzl1aWF2U1hnUVJ4TUt4SUl4ZXFaYjd6dDRNYzZ5aw?oc=5
"""Reallabor"" Wuppertal","Sommer, Sonne, Sitzbänke: Neues Mobiliar für die Barmer Innenstadt - wuppertal.de",wuppertal.de,"Fri, 10 May 2024 14:24:20 GMT",https://news.google.com/rss/articles/CBMizwFBVV95cUxPZktVdUlmWFk1Tmxudm9GWFMtaXVDbF9TS0RGWm1sMVE2SHloUXk2SUZzUXVkVFJTYWd2RE1RWE9lckxYLXZ2U2JaS3VZMEpJanhyTDVnT2owSmxodVIxcWNraXY4RnZrNE9tc2oxV0F0TGl0QnFxWS1lOTdEbU8xdTg0cWJmNFFBNDBCM18teUhoWVhhZ0hnVUM2Um1iUXlMZVdiYVFUQmsxUHhjTEZvOXFiRkNoSWRLazlGRDZSY2IxbllhNmFMeXRjM21Rbnc?oc=5
"""Reallabor"" Wuppertal",Siems/Flächensuffiienz-Lab - Uni Wuppertal,Uni Wuppertal,"Wed, 29 Jan 2025 10:35:43 GMT",https://news.google.com/rss/articles/CBMiygFBVV95cUxPOHY4Tm14VXZ2ZkJ4djdwWHFOUVMzNF80bEY2emJaeS1nSDdFdEptY1JLTGE1M2xpSkVZVkk0bE5QMFpTNHpEMm9uWXlyaGE2YjY2YUdkcU92QXdMNm9WRWJBWlU1VGxUZE5EYnFfTzVHb1l0VUFWME82WkZyLTFxNzlHbEItak84TlN6ZWlQMlptdUhXbGt1ak9GeEQ0VTR1NFVqWnBhTTJQYVp6YnRtTlIwRmVkd2RXMUpXa2J2TGpnTWg1bEZqUXNR?oc=5
"""Reallabor"" Wuppertal",Wuppertal: Preisträger warnt vor einer Gentrifizierung des Quartiers Mirke [WZ+] - Westdeutsche Zeitung,Westdeutsche Zeitung,"Mon, 04 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNUGFRZGJKcVh3akpQcEg3a05sM293eTNsTEw2bWVMdFdjTVVZZG9rSWZpQ2puLUx5UEEwdndYa2lTeVUxcWVOZXdrSmR6MDdadDdDdy1JNHpfV1F6M0hzVU9RVWxJMU9kSkZFRUkyNFJBME04NmRzTFlMLWtuNWphejliWmZ5aEtlWjZ6RzFSMmczMXM2YXM4TUxfdm1MSVR5V2dudmFuRHZtanVHNmxiWkFpUTBQUDZ3MGVSREFPdHBYYUlodEVXaFhELUMxZWN0ZWg1QVRLZw?oc=5
"""Reallabor"" Wuppertal","Reallabor gewinnt Forschungspreis ""Transformative Wissenschaft"" - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Fri, 30 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE9POHVpb2NTT0d0dWFjWFhlNmhTZHRJR1AxNHIyb1FUQmd1UlhIYU12V2hZZzdXLTRYQS1XempPZmlRS1VpRnh2dGlfLXA4WlVGNWc?oc=5
"""Reallabor"" Wuppertal",Kommentar zum Ende der Amtszeit von OB Schneidewind: Der richtige Mann am falschen Platz - Wuppertaler Rundschau,Wuppertaler Rundschau,"Sun, 02 Nov 2025 10:00:00 GMT",https://news.google.com/rss/articles/CBMivwFBVV95cUxNeVhsYkQyY0U4N1dFendKTkRMSlhQdmlBVDhPeXZFYm5zeTI2Y0JGbjdDR0pKbUtCbUd3dThrbTQ1Qk1ycjllMXpxMHZ6VDF1QmpNRnNhNlM4MzlOZ2h1V0RhenpuVmZfdnVqeWd1T3FSenJ0SDk3NlV3MUZDZ1UxRnRrQTU1S2hEcm84ejlTOV9rVzMyc242QXlEZVphQ1k1V3BSUWZURUhsNHU4eDlQSFB5MV95ZW94elZVTXR2Zw?oc=5
"""Reallabor"" Wuppertal","Matthias Wanner gewinnt Forschungspreis ""Transformative Wissenschaft"" - Wuppertal Institut für Klima, Umwelt, Energie","Wuppertal Institut für Klima, Umwelt, Energie","Mon, 20 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE5ZcktZTll2MThPbzU0bTdKY2l5bUZrRXk1LXBlTmpfaExhRUY5ZkZpSDlocTl6MHpSbVpXUXNtelpSRWh5Vl9nWnU3ejN2Ni1BMGc?oc=5
